id,ticker,name,marketCap
815,347860,알체라,2608
816,006740,영풍제지,2608
817,348150,고바이오랩,2606
818,001360,삼성제약,2602
819,000680,LS네트웍스,2600
820,192440,슈피겐코리아,2598
821,079370,제우스,2596
822,337930,브랜드엑스코퍼레이션,2590
823,067280,멀티캠퍼스,2590
824,002100,경농,2586
825,146320,비씨엔씨,2584
826,082920,비츠로셀,2584
827,001270,부국증권,2582
828,214330,금호에이치티,2576
829,007210,벽산,2571
830,010955,S-Oil우,2570
831,006110,삼아알미늄,2563
832,053300,한국정보인증,2560
833,216050,인크로스,2558
834,376980,원티드랩,2558
835,002810,삼영무역,2557
836,095500,미래나노텍,2555
837,042370,비츠로테크,2554
838,115960,연우,2553
839,373200,하인크코리아,2549
840,211270,AP위성,2548
841,019210,와이지-원,2546
842,001340,백광산업,2546
843,008060,대덕,2545
844,031980,피에스케이홀딩스,2544
845,001070,대한방직,2544
846,011500,한농화성,2541
847,036890,진성티이씨,2540
848,228760,지노믹트리,2530
849,417310,코람코더원리츠,2529
850,060590,씨티씨바이오,2526
851,083450,GST,2525
852,039560,다산네트웍스,2524
853,013030,하이록코리아,2518
854,017890,한국알콜,2517
855,000155,두산우,2509
856,007160,사조산업,2505
857,004560,현대비앤지스틸,2503
858,119860,다나와,2497
859,00279K,아모레G3우(전환),2496
860,361390,제노코,2494
861,009155,삼성전기우,2494
862,079980,휴비스,2494
863,031440,신세계푸드,2493
864,025000,KPX케미칼,2492
865,073490,이노와이어리스,2486
866,016610,DB금융투자,2483
867,284620,카이노스메드,2476
868,200710,에이디테크놀로지,2472
869,039570,HDC랩스,2465
870,082800,비보존 헬스케어,2457
871,220260,켐트로스,2456
872,086890,이수앱지스,2455
873,036580,팜스코,2449
874,011760,현대코퍼레이션,2447
875,108490,로보티즈,2434
876,003160,디아이,2434
877,004360,세방,2432
878,054450,텔레칩스,2431
879,047310,파워로직스,2426
880,308080,바이젠셀,2418
881,306040,에스제이그룹,2407
882,033310,엠투엔,2404
883,028100,동아지질,2403
884,220100,퓨쳐켐,2396
885,229640,LS전선아시아,2391
886,000540,흥국화재,2389
887,068930,디지털대성,2388
888,060570,드림어스컴퍼니,2385
889,138610,나이벡,2384
890,241840,에이스토리,2382
891,101530,해태제과식품,2373
892,012700,리드코프,2372
893,084650,랩지노믹스,2372
894,126340,비나텍,2370
895,334970,프레스티지바이오로직스,2370
896,136540,윈스,2361
897,000390,삼화페인트,2361
898,005680,삼영전자,2360
899,099750,이지케어텍,2359
900,376190,엘비루셈,2359
901,070960,용평리조트,2358
902,056080,유진로봇,2352
903,092070,디엔에프,2349
904,052260,현대바이오랜드,2347
905,160550,NEW,2344
906,083310,엘오티베큠,2342
907,054620,APS홀딩스,2335
908,014160,대영포장,2335
909,013570,디와이,2329
910,123040,엠에스오토텍,2324
911,102120,어보브반도체,2322
912,033920,무학,2319
913,097955,CJ제일제당 우,2316
914,185490,아이진,2312
915,166480,코아스템,2306
916,356860,티엘비,2300
917,051160,지어소프트,2297
918,950190,미투젠,2295
919,318020,포인트모바일,2291
920,228670,레이,2282
921,234340,세틀뱅크,2268
922,001570,금양,2264
923,005720,넥센,2262
924,277880,티에스아이,2261
925,137950,제이씨케미칼,2260
926,195990,에이비프로바이오,2257
927,083420,그린케미칼,2256
928,102260,동성케미컬,2253
929,377450,리파인,2252
930,103590,일진전기,2247
931,013360,일성건설,2247
932,400760,NH올원리츠,2245
933,138580,비즈니스온,2244
934,270660,에브리봇,2240
935,232680,라온테크,2239
936,239890,피엔에이치테크,2237
937,150840,인트로메딕,2236
938,263920,휴엠앤씨,2234
939,357230,에이치피오,2233
940,214180,민앤지,2233
941,251970,펌텍코리아,2232
942,200880,서연이화,2224
943,306620,네온테크,2222
944,092130,이크레더블,2222
945,091580,상신이디피,2221
946,180400,디엑스앤브이엑스,2220
947,041590,플래스크,2212
948,025320,시노펙스,2204
949,299660,셀리드,2199
950,023450,동남합성,2198
951,049950,미래컴퍼니,2198
952,208640,썸에이지,2193
953,005389,현대차3우B,2183
954,017550,수산중공업,2178
955,262260,에이프로,2174
